Provider,Location,Device,Aggregate Date,Metric Type,Multi-Server Latency,Multi-Server Jitter,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Armenia,,Aug-20,median,,,22.13,20.21
All Providers Combined,Armenia,,Aug-20,mean,,,30.49,28.51
All Providers Combined,Belarus,,Aug-20,median,,,43.11,37.38
All Providers Combined,Belarus,,Aug-20,mean,,,70.84,51.51
All Providers Combined,Kazakhstan,,Aug-20,median,,,24.43,23.7
All Providers Combined,Kazakhstan,,Aug-20,mean,,,47.43,44.26
All Providers Combined,Kyrgyzstan,,Aug-20,median,,,31.14,29.25
All Providers Combined,Kyrgyzstan,,Aug-20,mean,,,42.29,37.36
All Providers Combined,Russia,,Aug-20,median,,,49.1,53.72
All Providers Combined,Russia,,Aug-20,mean,,,75.91,80.13
All Providers Combined,Tajikistan,,Aug-20,median,,,16.75,16.86
All Providers Combined,Tajikistan,,Aug-20,mean,,,32.61,34.64
All Providers Combined,Uzbekistan,,Aug-20,median,,,18.41,16.64
All Providers Combined,Uzbekistan,,Aug-20,mean,,,29.8,28.29
All Providers Combined,Azerbaijan,,Sep-20,median,,,12.47,13.8
All Providers Combined,Azerbaijan,,Sep-20,mean,,,23.48,25.22
All Providers Combined,Armenia,,Sep-20,median,,,22.45,20.1
All Providers Combined,Armenia,,Sep-20,mean,,,31.98,29.56
All Providers Combined,Belarus,,Sep-20,median,,,37.86,32.34
All Providers Combined,Belarus,,Sep-20,mean,,,64.44,47.46
All Providers Combined,Kazakhstan,,Sep-20,median,,,25.32,24.9
All Providers Combined,Kazakhstan,,Sep-20,mean,,,49.12,46.06
All Providers Combined,Kyrgyzstan,,Sep-20,median,,,32.73,30.94
All Providers Combined,Kyrgyzstan,,Sep-20,mean,,,44.47,40.25
All Providers Combined,Russia,,Sep-20,median,,,50.01,54.85
All Providers Combined,Russia,,Sep-20,mean,,,77.51,81.71
All Providers Combined,Tajikistan,,Sep-20,median,,,20.03,16.95
All Providers Combined,Tajikistan,,Sep-20,mean,,,34.68,33.31
All Providers Combined,Uzbekistan,,Sep-20,median,,,18.25,17.23
All Providers Combined,Uzbekistan,,Sep-20,mean,,,30.5,29.85
All Providers Combined,Azerbaijan,,Oct-20,median,,,16.45,18.22
All Providers Combined,Azerbaijan,,Oct-20,mean,,,27.83,29.71
All Providers Combined,Armenia,,Oct-20,median,,,22.06,19.98
All Providers Combined,Armenia,,Oct-20,mean,,,31.29,28.59
All Providers Combined,Belarus,,Oct-20,median,,,39.62,33.45
All Providers Combined,Belarus,,Oct-20,mean,,,67.37,49.35
All Providers Combined,Kazakhstan,,Oct-20,median,,,25.49,24.89
All Providers Combined,Kazakhstan,,Oct-20,mean,,,50.74,47.53
All Providers Combined,Kyrgyzstan,,Oct-20,median,,,29.8,29.82
All Providers Combined,Kyrgyzstan,,Oct-20,mean,,,42.73,38.57
All Providers Combined,Russia,,Oct-20,median,,,49.87,55.05
All Providers Combined,Russia,,Oct-20,mean,,,78.07,82.26
