Provider,Location,Device,Aggregate Date,Technology Type,Metric Type,Multi-Server Latency,Multi-Server Jitter,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Armenia,,May-20,cellular,mean,,,34.72,13.28
All Providers Combined,Belarus,,May-20,cellular,median,,,8.79,4.21
All Providers Combined,Belarus,,May-20,cellular,mean,,,15.14,8.71
All Providers Combined,Kazakhstan,,May-20,cellular,median,,,13.59,6.25
All Providers Combined,Kazakhstan,,May-20,cellular,mean,,,20.95,9.73
All Providers Combined,Kyrgyzstan,,May-20,cellular,median,,,13.58,5.3
All Providers Combined,Kyrgyzstan,,May-20,cellular,mean,,,18.21,8.71
All Providers Combined,Russia,,May-20,cellular,median,,,12.8,5.72
All Providers Combined,Russia,,May-20,cellular,mean,,,20.29,8.9
All Providers Combined,Tajikistan,,May-20,cellular,median,,,4.74,1.84
All Providers Combined,Tajikistan,,May-20,cellular,mean,,,10.11,4.63
All Providers Combined,Uzbekistan,,May-20,cellular,median,,,8.18,3.96
All Providers Combined,Uzbekistan,,May-20,cellular,mean,,,11.26,6.35
All Providers Combined,Azerbaijan,,Jun-20,cellular,median,,,25.18,8.02
All Providers Combined,Azerbaijan,,Jun-20,cellular,mean,,,30.99,13.79
All Providers Combined,Armenia,,Jun-20,cellular,median,,,23.49,8.82
All Providers Combined,Armenia,,Jun-20,cellular,mean,,,34.04,13.21
All Providers Combined,Belarus,,Jun-20,cellular,median,,,8.5,3.92
All Providers Combined,Belarus,,Jun-20,cellular,mean,,,14.8,8.16
All Providers Combined,Kazakhstan,,Jun-20,cellular,median,,,13.88,6.35
All Providers Combined,Kazakhstan,,Jun-20,cellular,mean,,,21.25,9.81
All Providers Combined,Kyrgyzstan,,Jun-20,cellular,median,,,15.36,6.55
All Providers Combined,Kyrgyzstan,,Jun-20,cellular,mean,,,20.06,10.06
All Providers Combined,Russia,,Jun-20,cellular,median,,,14.24,6.01
All Providers Combined,Russia,,Jun-20,cellular,mean,,,22.06,9.2
All Providers Combined,Tajikistan,,Jun-20,cellular,median,,,7.08,2.99
All Providers Combined,Tajikistan,,Jun-20,cellular,mean,,,12.62,5.94
All Providers Combined,Uzbekistan,,Jun-20,cellular,median,,,8.77,4.37
All Providers Combined,Uzbekistan,,Jun-20,cellular,mean,,,11.78,6.85
All Providers Combined,Azerbaijan,,Jul-20,cellular,median,,,25.12,7.67
All Providers Combined,Azerbaijan,,Jul-20,cellular,mean,,,31.23,13.72
All Providers Combined,Armenia,,Jul-20,cellular,median,,,23.01,8.96
All Providers Combined,Armenia,,Jul-20,cellular,mean,,,33.61,13.16
All Providers Combined,Belarus,,Jul-20,cellular,median,,,8.61,3.82
All Providers Combined,Belarus,,Jul-20,cellular,mean,,,15.29,8.04
All Providers Combined,Kazakhstan,,Jul-20,cellular,median,,,12.27,5.65
All Providers Combined,Kazakhstan,,Jul-20,cellular,mean,,,19.67,9.09
All Providers Combined,Kyrgyzstan,,Jul-20,cellular,median,,,13.61,5.38
All Providers Combined,Kyrgyzstan,,Jul-20,cellular,mean,,,18.87,8.96
All Providers Combined,Russia,,Jul-20,cellular,median,,,14.56,6.19
All Providers Combined,Russia,,Jul-20,cellular,mean,,,22.66,9.44
All Providers Combined,Tajikistan,,Jul-20,cellular,median,,,6.34,2.18
All Providers Combined,Tajikistan,,Jul-20,cellular,mean,,,12.69,5.34
All Providers Combined,Uzbekistan,,Jul-20,cellular,median,,,8.66,4.2
All Providers Combined,Uzbekistan,,Jul-20,cellular,mean,,,11.99,6.65
All Providers Combined,Azerbaijan,,Aug-20,cellular,median,,,26.67,8.89
All Providers Combined,Azerbaijan,,Aug-20,cellular,mean,,,32.99,14.85
All Providers Combined,Armenia,,Aug-20,cellular,median,,,25.23,10.1
All Providers Combined,Armenia,,Aug-20,cellular,mean,,,36.04,14
All Providers Combined,Belarus,,Aug-20,cellular,median,,,8.84,4.1
All Providers Combined,Belarus,,Aug-20,cellular,mean,,,15.91,8.47
All Providers Combined,Kazakhstan,,Aug-20,cellular,median,,,12.9,6.08
All Providers Combined,Kazakhstan,,Aug-20,cellular,mean,,,20.45,9.43
All Providers Combined,Kyrgyzstan,,Aug-20,cellular,median,,,14.87,6.01
All Providers Combined,Kyrgyzstan,,Aug-20,cellular,mean,,,19.95,9.53
All Providers Combined,Russia,,Aug-20,cellular,median,,,14.6,6.5
All Providers Combined,Russia,,Aug-20,cellular,mean,,,22.83,9.68
All Providers Combined,Tajikistan,,Aug-20,cellular,median,,,6.56,2.8
All Providers Combined,Tajikistan,,Aug-20,cellular,mean,,,12.15,5.79
All Providers Combined,Uzbekistan,,Aug-20,cellular,median,,,9.28,4.55
All Providers Combined,Uzbekistan,,Aug-20,cellular,mean,,,12.74,7.03
All Providers Combined,Azerbaijan,,Sep-20,cellular,median,,,29.26,10.8
All Providers Combined,Azerbaijan,,Sep-20,cellular,mean,,,35.11,16.07
All Providers Combined,Armenia,,Sep-20,cellular,median,,,16.81,6.43
All Providers Combined,Armenia,,Sep-20,cellular,mean,,,28.25,11.2
All Providers Combined,Belarus,,Sep-20,cellular,median,,,8.44,4.46
All Providers Combined,Belarus,,Sep-20,cellular,mean,,,14.23,9.27
All Providers Combined,Kazakhstan,,Sep-20,cellular,median,,,12.82,6.2
All Providers Combined,Kazakhstan,,Sep-20,cellular,mean,,,19.97,9.69
All Providers Combined,Kyrgyzstan,,Sep-20,cellular,median,,,15.06,6.6
All Providers Combined,Kyrgyzstan,,Sep-20,cellular,mean,,,19.82,9.85
All Providers Combined,Russia,,Sep-20,cellular,median,,,15.03,6.81
All Providers Combined,Russia,,Sep-20,cellular,mean,,,23.22,9.92
All Providers Combined,Tajikistan,,Sep-20,cellular,median,,,6.44,3.18
All Providers Combined,Tajikistan,,Sep-20,cellular,mean,,,13.08,5.8
All Providers Combined,Uzbekistan,,Sep-20,cellular,median,,,10.09,5.87
All Providers Combined,Uzbekistan,,Sep-20,cellular,mean,,,13.54,8.08
All Providers Combined,Azerbaijan,,Oct-20,cellular,median,,,25.09,9.48
All Providers Combined,Azerbaijan,,Oct-20,cellular,mean,,,31.45,14.58
All Providers Combined,Armenia,,Oct-20,cellular,median,,,19,7.48
All Providers Combined,Armenia,,Oct-20,cellular,mean,,,29.97,12.17
All Providers Combined,Belarus,,Oct-20,cellular,median,,,8.4,4.33
All Providers Combined,Belarus,,Oct-20,cellular,mean,,,14.64,9.24
All Providers Combined,Kazakhstan,,Oct-20,cellular,median,,,12.17,6.14
All Providers Combined,Kazakhstan,,Oct-20,cellular,mean,,,19.28,9.64
All Providers Combined,Kyrgyzstan,,Oct-20,cellular,median,,,14.05,6.35
All Providers Combined,Kyrgyzstan,,Oct-20,cellular,mean,,,19.24,9.78
All Providers Combined,Russia,,Oct-20,cellular,median,,,14.53,6.86
All Providers Combined,Russia,,Oct-20,cellular,mean,,,22.82,10
All Providers Combined,Tajikistan,,Oct-20,cellular,median,,,5.66,2.26
All Providers Combined,Tajikistan,,Oct-20,cellular,mean,,,11.46,4.96
All Providers Combined,Uzbekistan,,Oct-20,cellular,median,,,8.47,5.4
All Providers Combined,Uzbekistan,,Oct-20,cellular,mean,,,12.14,7.75
All Providers Combined,Azerbaijan,,Nov-20,cellular,median,,,25.23,10.25
All Providers Combined,Azerbaijan,,Nov-20,cellular,mean,,,31.45,15.86
All Providers Combined,Armenia,,Nov-20,cellular,median,,,19.11,7.19
All Providers Combined,Armenia,,Nov-20,cellular,mean,,,30.75,11.6
All Providers Combined,Belarus,,Nov-20,cellular,median,,,8.92,4.68
All Providers Combined,Belarus,,Nov-20,cellular,mean,,,15.24,9.59
All Providers Combined,Kazakhstan,,Nov-20,cellular,median,,,11.18,6.11
All Providers Combined,Kazakhstan,,Nov-20,cellular,mean,,,18.85,9.56
All Providers Combined,Kyrgyzstan,,Nov-20,cellular,median,,,15.4,7.29
All Providers Combined,Kyrgyzstan,,Nov-20,cellular,mean,,,20.83,10.41
All Providers Combined,Russia,,Nov-20,cellular,median,,,14.74,6.99
All Providers Combined,Russia,,Nov-20,cellular,mean,,,23.4,10.15
All Providers Combined,Tajikistan,,Nov-20,cellular,median,,,6.23,2.83
All Providers Combined,Tajikistan,,Nov-20,cellular,mean,,,13.21,5.82
All Providers Combined,Uzbekistan,,Nov-20,cellular,median,,,8.8,5.32
All Providers Combined,Uzbekistan,,Nov-20,cellular,mean,,,12.51,7.83
All Providers Combined,Azerbaijan,,Dec-20,cellular,median,,,25.43,8.95
All Providers Combined,Azerbaijan,,Dec-20,cellular,mean,,,31.44,15.02
All Providers Combined,Armenia,,Dec-20,cellular,median,,,21.09,7.83
All Providers Combined,Armenia,,Dec-20,cellular,mean,,,32.36,12.21
All Providers Combined,Belarus,,Dec-20,cellular,median,,,9.85,4.64
All Providers Combined,Belarus,,Dec-20,cellular,mean,,,16.62,9.39
All Providers Combined,Kazakhstan,,Dec-20,cellular,median,,,11.82,6.25
All Providers Combined,Kazakhstan,,Dec-20,cellular,mean,,,19.52,9.85
All Providers Combined,Kyrgyzstan,,Dec-20,cellular,median,,,15.35,7.67
