Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2022-07-01T00:00:00Z,2022,7,3,2022-Q3,2022-07,Azerbaijan,All Providers Combined,Fixed,mean,30.42,31.26,59,47,NA,Jul-22
2022-07-01T00:00:00Z,2022,7,3,2022-Q3,2022-07,Azerbaijan,All Providers Combined,Fixed,median,20.91,22.13,16.3821,10.7483,NA,Jul-22
2022-08-01T00:00:00Z,2022,8,3,2022-Q3,2022-08,Azerbaijan,All Providers Combined,Fixed,mean,31.2,31.49,57,47,NA,Aug-22
2022-08-01T00:00:00Z,2022,8,3,2022-Q3,2022-08,Azerbaijan,All Providers Combined,Fixed,median,22.15,22.89,15.0946,10.5658,NA,Aug-22
2022-09-01T00:00:00Z,2022,9,3,2022-Q3,2022-09,Azerbaijan,All Providers Combined,Fixed,mean,36.73,37.42,51,43,NA,Sep-22
2022-09-01T00:00:00Z,2022,9,3,2022-Q3,2022-09,Azerbaijan,All Providers Combined,Fixed,median,26.33,27.32,12.2,8.2813,NA,Sep-22
2022-10-01T00:00:00Z,2022,10,4,2022-Q4,2022-10,Azerbaijan,All Providers Combined,Fixed,mean,34.35,35.06,52,43,NA,Oct-22
2022-10-01T00:00:00Z,2022,10,4,2022-Q4,2022-10,Azerbaijan,All Providers Combined,Fixed,median,26.19,27.41,11.7916,7.9162,NA,Oct-22
2022-11-01T00:00:00Z,2022,11,4,2022-Q4,2022-11,Azerbaijan,All Providers Combined,Fixed,mean,35.31,36.57,53,43,NA,Nov-22
2022-11-01T00:00:00Z,2022,11,4,2022-Q4,2022-11,Azerbaijan,All Providers Combined,Fixed,median,27,28.64,12.875,8.725,NA,Nov-22
2022-12-01T00:00:00Z,2022,12,4,2022-Q4,2022-12,Azerbaijan,All Providers Combined,Fixed,mean,35.74,37.05,51,41,NA,Dec-22
2022-12-01T00:00:00Z,2022,12,4,2022-Q4,2022-12,Azerbaijan,All Providers Combined,Fixed,median,27.15,28.81,11.7382,8.0583,NA,Dec-22
2023-01-01T00:00:00Z,2023,1,1,2023-Q1,2023-01,Azerbaijan,All Providers Combined,Fixed,mean,34.53,35.43,53,43,NA,Jan-23
2023-01-01T00:00:00Z,2023,1,1,2023-Q1,2023-01,Azerbaijan,All Providers Combined,Fixed,median,26.27,27.85,11.95,8.1594,NA,Jan-23
2023-02-01T00:00:00Z,2023,2,1,2023-Q1,2023-02,Azerbaijan,All Providers Combined,Fixed,mean,36.67,36.97,49,40,NA,Feb-23
2023-02-01T00:00:00Z,2023,2,1,2023-Q1,2023-02,Azerbaijan,All Providers Combined,Fixed,median,27.57,28.75,10.8683,7.5155,NA,Feb-23
2023-03-01T00:00:00Z,2023,3,1,2023-Q1,2023-03,Azerbaijan,All Providers Combined,Fixed,mean,37.23,37.06,50,40,NA,Mar-23
2023-03-01T00:00:00Z,2023,3,1,2023-Q1,2023-03,Azerbaijan,All Providers Combined,Fixed,median,27.84,29.1,10.9521,7.5932,NA,Mar-23
2023-04-01T00:00:00Z,2023,4,2,2023-Q2,2023-04,Azerbaijan,All Providers Combined,Fixed,mean,37.61,37.32,47,37,NA,Apr-23
2023-04-01T00:00:00Z,2023,4,2,2023-Q2,2023-04,Azerbaijan,All Providers Combined,Fixed,median,28.83,29.59,10.2136,6.6939,NA,Apr-23
2023-05-01T00:00:00Z,2023,5,2,2023-Q2,2023-05,Azerbaijan,All Providers Combined,Fixed,mean,38.5,38.09,47,38,NA,May-23
2023-05-01T00:00:00Z,2023,5,2,2023-Q2,2023-05,Azerbaijan,All Providers Combined,Fixed,median,29.14,29.76,10.1528,6.5,NA,May-23
2023-06-01T00:00:00Z,2023,6,2,2023-Q2,2023-06,Azerbaijan,All Providers Combined,Fixed,mean,38.45,37.25,44,35,NA,Jun-23
2023-06-01T00:00:00Z,2023,6,2,2023-Q2,2023-06,Azerbaijan,All Providers Combined,Fixed,median,29.47,29.73,9.9618,6.2156,NA,Jun-23
2023-07-01T00:00:00Z,2023,7,3,2023-Q3,2023-07,Azerbaijan,All Providers Combined,Fixed,mean,38.37,40.39,41,34,NA,Jul-23
2023-07-01T00:00:00Z,2023,7,3,2023-Q3,2023-07,Azerbaijan,All Providers Combined,Fixed,median,29.14,30.41,9.9245,5.7925,NA,Jul-23
2023-08-01T00:00:00Z,2023,8,3,2023-Q3,2023-08,Azerbaijan,All Providers Combined,Fixed,mean,36.96,38.74,44,36,NA,Aug-23
2023-08-01T00:00:00Z,2023,8,3,2023-Q3,2023-08,Azerbaijan,All Providers Combined,Fixed,median,28.7,29.96,10.5833,6.6902,NA,Aug-23
2023-09-01T00:00:00Z,2023,9,3,2023-Q3,2023-09,Azerbaijan,All Providers Combined,Fixed,mean,38.04,40.4,39,32,NA,Sep-23
2023-09-01T00:00:00Z,2023,9,3,2023-Q3,2023-09,Azerbaijan,All Providers Combined,Fixed,median,29.29,30.68,9.658,5.9234,NA,Sep-23
2023-10-01T00:00:00Z,2023,10,4,2023-Q4,2023-10,Azerbaijan,All Providers Combined,Fixed,mean,40.81,42.05,40,33,NA,Oct-23
2023-10-01T00:00:00Z,2023,10,4,2023-Q4,2023-10,Azerbaijan,All Providers Combined,Fixed,median,30.48,32.44,9.8002,5.8639,NA,Oct-23
2023-11-01T00:00:00Z,2023,11,4,2023-Q4,2023-11,Azerbaijan,All Providers Combined,Fixed,mean,44.22,42.85,42,36,NA,Nov-23
2023-11-01T00:00:00Z,2023,11,4,2023-Q4,2023-11,Azerbaijan,All Providers Combined,Fixed,median,33.03,33.32,9.7461,5.95,NA,Nov-23
2023-12-01T00:00:00Z,2023,12,4,2023-Q4,2023-12,Azerbaijan,All Providers Combined,Fixed,mean,49.02,47.54,41,34,NA,Dec-23
2023-12-01T00:00:00Z,2023,12,4,2023-Q4,2023-12,Azerbaijan,All Providers Combined,Fixed,median,35.25,35.17,10.2277,5.6625,NA,Dec-23
2024-01-01T00:00:00Z,2024,1,1,2024-Q1,2024-01,Azerbaijan,All Providers Combined,Fixed,mean,51.21,48,43,34,NA,Jan-24
