Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date,Technology
2021-02-01T00:00:00Z,2021,2,1,2021-Q1,2021-02,Armenia,All Providers Combined,Cellular,median,21.86,7.52,NA,NA,NA,Feb-21,cellular
2021-02-01T00:00:00Z,2021,2,1,2021-Q1,2021-02,Armenia,All Providers Combined,Fixed,mean,32,30.83,NA,NA,NA,Feb-21,NA
2021-02-01T00:00:00Z,2021,2,1,2021-Q1,2021-02,Armenia,All Providers Combined,Fixed,median,23.71,22.01,NA,NA,NA,Feb-21,NA
2021-03-01T00:00:00Z,2021,3,1,2021-Q1,2021-03,Armenia,All Providers Combined,Cellular,mean,28.06,10.5,NA,NA,NA,Mar-21,cellular
2021-03-01T00:00:00Z,2021,3,1,2021-Q1,2021-03,Armenia,All Providers Combined,Cellular,median,16.75,5.29,NA,NA,NA,Mar-21,cellular
2021-03-01T00:00:00Z,2021,3,1,2021-Q1,2021-03,Armenia,All Providers Combined,Fixed,mean,32.36,30.82,NA,NA,NA,Mar-21,NA
2021-03-01T00:00:00Z,2021,3,1,2021-Q1,2021-03,Armenia,All Providers Combined,Fixed,median,23.37,21.27,NA,NA,NA,Mar-21,NA
2021-04-01T00:00:00Z,2021,4,2,2021-Q2,2021-04,Armenia,All Providers Combined,Cellular,mean,29.38,9.6,NA,NA,NA,Apr-21,cellular
2021-04-01T00:00:00Z,2021,4,2,2021-Q2,2021-04,Armenia,All Providers Combined,Cellular,median,17.03,4.66,NA,NA,NA,Apr-21,cellular
2021-04-01T00:00:00Z,2021,4,2,2021-Q2,2021-04,Armenia,All Providers Combined,Fixed,mean,33.87,31.43,NA,NA,NA,Apr-21,NA
2021-04-01T00:00:00Z,2021,4,2,2021-Q2,2021-04,Armenia,All Providers Combined,Fixed,median,25.16,21.78,NA,NA,NA,Apr-21,NA
2021-05-01T00:00:00Z,2021,5,2,2021-Q2,2021-05,Armenia,All Providers Combined,Cellular,mean,30.51,10.34,NA,NA,NA,May-21,cellular
2021-05-01T00:00:00Z,2021,5,2,2021-Q2,2021-05,Armenia,All Providers Combined,Cellular,median,17.61,4.88,NA,NA,NA,May-21,cellular
2021-05-01T00:00:00Z,2021,5,2,2021-Q2,2021-05,Armenia,All Providers Combined,Fixed,mean,34.58,32.16,NA,NA,NA,May-21,NA
2021-05-01T00:00:00Z,2021,5,2,2021-Q2,2021-05,Armenia,All Providers Combined,Fixed,median,25.55,21.84,NA,NA,NA,May-21,NA
2021-06-01T00:00:00Z,2021,6,2,2021-Q2,2021-06,Armenia,All Providers Combined,Cellular,mean,32.67,10.86,NA,NA,NA,Jun-21,cellular
