Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Russia,All Providers Combined,Fixed,mean,58.13,62.67,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Tajikistan,All Providers Combined,Fixed,median,7.74,5.61,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Tajikistan,All Providers Combined,Fixed,mean,20.41,19.83,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Uzbekistan,All Providers Combined,Fixed,median,8.02,7.12,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Uzbekistan,All Providers Combined,Fixed,mean,19.91,18.73,NA,NA,NA,Sep-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Azerbaijan,All Providers Combined,Fixed,median,10.72,11.64,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Azerbaijan,All Providers Combined,Fixed,mean,22.34,24.49,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Armenia,All Providers Combined,Fixed,median,19.03,18.37,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Armenia,All Providers Combined,Fixed,mean,26.05,26.37,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Belarus,All Providers Combined,Fixed,median,37,32.65,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Belarus,All Providers Combined,Fixed,mean,52.95,43.26,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Kazakhstan,All Providers Combined,Fixed,median,23.43,23.7,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Kazakhstan,All Providers Combined,Fixed,mean,40.14,40.63,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Kyrgyzstan,All Providers Combined,Fixed,median,22.81,25.69,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Kyrgyzstan,All Providers Combined,Fixed,mean,30.19,32.61,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Russia,All Providers Combined,Fixed,median,41.61,47.47,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Russia,All Providers Combined,Fixed,mean,60.91,67.79,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Tajikistan,All Providers Combined,Fixed,median,9.13,6.83,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Tajikistan,All Providers Combined,Fixed,mean,21.1,21.55,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Uzbekistan,All Providers Combined,Fixed,median,7.83,7.63,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Uzbekistan,All Providers Combined,Fixed,mean,18.9,19.27,NA,NA,NA,Oct-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Azerbaijan,All Providers Combined,Fixed,median,10.18,10.9,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Azerbaijan,All Providers Combined,Fixed,mean,21.2,23.49,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Armenia,All Providers Combined,Fixed,median,19.32,19.14,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Armenia,All Providers Combined,Fixed,mean,25.88,26.52,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Belarus,All Providers Combined,Fixed,median,35.12,31.25,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Belarus,All Providers Combined,Fixed,mean,51.5,42.92,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Kazakhstan,All Providers Combined,Fixed,median,21.55,23.14,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Kazakhstan,All Providers Combined,Fixed,mean,40,41.76,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Kyrgyzstan,All Providers Combined,Fixed,median,21.67,24.81,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Kyrgyzstan,All Providers Combined,Fixed,mean,29.51,31.3,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Russia,All Providers Combined,Fixed,median,41.3,47.45,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Russia,All Providers Combined,Fixed,mean,60.75,67.59,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Tajikistan,All Providers Combined,Fixed,median,8.8,7,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Tajikistan,All Providers Combined,Fixed,mean,21.15,22.37,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Uzbekistan,All Providers Combined,Fixed,median,10.03,9.85,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Uzbekistan,All Providers Combined,Fixed,mean,21.47,21.59,NA,NA,NA,Nov-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Azerbaijan,All Providers Combined,Fixed,median,10.34,11.21,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Azerbaijan,All Providers Combined,Fixed,mean,22.29,24.52,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Armenia,All Providers Combined,Fixed,median,19.78,19.52,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Armenia,All Providers Combined,Fixed,mean,27.02,27.38,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Belarus,All Providers Combined,Fixed,median,31.25,29.34,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Belarus,All Providers Combined,Fixed,mean,50.39,43.68,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Kazakhstan,All Providers Combined,Fixed,median,22.64,25.23,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Kazakhstan,All Providers Combined,Fixed,mean,42.53,44.24,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Kyrgyzstan,All Providers Combined,Fixed,median,23.13,25.92,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Kyrgyzstan,All Providers Combined,Fixed,mean,31.56,32.51,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Russia,All Providers Combined,Fixed,median,41.59,47.73,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Russia,All Providers Combined,Fixed,mean,61.71,68.4,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Tajikistan,All Providers Combined,Fixed,median,9.07,7.42,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Tajikistan,All Providers Combined,Fixed,mean,20.57,21.7,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Uzbekistan,All Providers Combined,Fixed,median,10.68,10.33,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Uzbekistan,All Providers Combined,Fixed,mean,22.49,22.42,NA,NA,NA,Dec-19
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Azerbaijan,All Providers Combined,Fixed,median,9.81,10.39,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Azerbaijan,All Providers Combined,Fixed,mean,20.02,22.24,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Armenia,All Providers Combined,Fixed,median,18.93,18.62,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Armenia,All Providers Combined,Fixed,mean,25.67,25.93,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Belarus,All Providers Combined,Fixed,median,31.52,28.59,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Belarus,All Providers Combined,Fixed,mean,50.94,43.37,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Kazakhstan,All Providers Combined,Fixed,median,22.1,22.19,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Kazakhstan,All Providers Combined,Fixed,mean,41.45,41.04,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Kyrgyzstan,All Providers Combined,Fixed,median,23.02,25.58,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Kyrgyzstan,All Providers Combined,Fixed,mean,29.69,32.16,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Russia,All Providers Combined,Fixed,median,42.33,47.8,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Russia,All Providers Combined,Fixed,mean,62.68,68.9,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Tajikistan,All Providers Combined,Fixed,median,9.39,7.5,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Tajikistan,All Providers Combined,Fixed,mean,22.75,23.82,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Uzbekistan,All Providers Combined,Fixed,median,12.3,10.79,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Uzbekistan,All Providers Combined,Fixed,mean,24.75,24.94,NA,NA,NA,Jan-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Azerbaijan,All Providers Combined,Fixed,median,9.92,10.36,NA,NA,NA,Feb-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Azerbaijan,All Providers Combined,Fixed,mean,20.24,22.39,NA,NA,NA,Feb-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Armenia,All Providers Combined,Fixed,median,19.37,18.77,NA,NA,NA,Feb-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Armenia,All Providers Combined,Fixed,mean,26.79,26.59,NA,NA,NA,Feb-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Belarus,All Providers Combined,Fixed,median,32.32,29.13,NA,NA,NA,Feb-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Belarus,All Providers Combined,Fixed,mean,52.58,44.74,NA,NA,NA,Feb-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Kazakhstan,All Providers Combined,Fixed,median,21.75,21.32,NA,NA,NA,Feb-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Kazakhstan,All Providers Combined,Fixed,mean,40.95,40.57,NA,NA,NA,Feb-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Kyrgyzstan,All Providers Combined,Fixed,median,24.29,26.59,NA,NA,NA,Feb-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Kyrgyzstan,All Providers Combined,Fixed,mean,32.1,36.12,NA,NA,NA,Feb-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Russia,All Providers Combined,Fixed,median,42.36,48.52,NA,NA,NA,Feb-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Russia,All Providers Combined,Fixed,mean,63.28,70.44,NA,NA,NA,Feb-20
